clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.425010896,0.417545412,32.46088718
25,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.444908279,0.422051395,33.85831713
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.552926828,0.470852882,38.34178123
12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.565976484,0.478136551,39.46756134
25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.57967664,0.494164753,40.48451183
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.565239387,0.484349504,40.55501923
12.5,0.25,0.38,0.5,0.63,86,52,71.9,62,30,50.8,24,0.39,0.498729997,0.442193092,35.51753863
12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.619887727,0.529501569,42.19101338
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.53255682,0.465366894,36.16604354
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.340063353,0.381767872,28.76356526
12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.610321439,0.506852617,42.40950749
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.474009658,0.439040667,34.89580066
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.449875425,0.393781726,31.92881551
12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,34,0.56,0.572611128,0.482227496,39.81661146
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.480963646,0.437059543,34.66057255
12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.521906846,0.431267232,35.90984596
25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.425634435,0.381078645,29.77562706
25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.392540298,0.393781726,30.15219795
12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.58492102,0.487056813,40.86547798
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.450102564,0.388135964,29.09514833
12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.620391949,0.513260507,43.3126693
12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.534251703,0.461179325,37.78638255
25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.384981338,0.373856466,29.08514833
12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.494677622,0.453507667,36.40915749
12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.559324725,0.471161553,36.88084756
25,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.5143032,0.454917386,36.6742427
12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.480386371,0.437922725,34.9657728
12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.612974151,0.532222816,37.29886067
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,24,0.39,0.426064568,0.414830175,31.85521692
25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.454937519,0.423865656,33.26713681
25,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.408178454,0.409862936,31.08154655
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.589814772,0.495898084,40.86547798
12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.53513718,0.445071322,37.53578671
